"Tiempo","Frecuencia (Hz)","ESTACION","FECHA SUSCRIPCION","TIPO","Level (dBµV/m)","Bandwidth (Hz)","Offset (Hz)","FM (Hz)","Arch_ Info"
"01/07/2025  17:40:05,978","    88100000"," ","16/01/2024  13:57:40,000","R","  58,8","      462500","      -30725","       79954","Procesar Archivos de resultos de medición: Result. de med."
"01/07/2025  17:40:05,978","    88300000"," ","16/01/2024  13:57:40,000","R","  49,5","      119687","       10945","       79961","Propriedades del res. de med.:"
"01/07/2025  17:40:05,978","    88500000","PUBLICA FM","27/11/2015  13:57:40,000","R","  80,4","      151250","        -298","       53876"," Fecha inic.: 01/07/2025"
"01/07/2025  17:40:05,978","    88700000"," ","16/01/2024  13:57:40,000","R","  38,2","      109062","          63","       79970"," Hora inicial: 17:40:05"
"01/07/2025  17:40:05,978","    88900000"," ","16/01/2024  13:57:40,000","R","  48,6","      499687","         198","       79908"," Fecha final: 31/07/2025"
"01/07/2025  17:40:05,978","    89100000"," ","16/01/2024  13:57:40,000","R","  46,3","      499687","        -875","       79937"," Hora final: 7:47:35"
"01/07/2025  17:40:05,978","    89300000","RADIO MORONA NO autorizada","04/03/2021  13:57:40,000","M","  62,1","      312500","      -41742","       79996"," Cantidad de med.: 9696"
"01/07/2025  17:40:05,978","    89500000"," ","16/01/2024  13:57:40,000","R","  38,1","      475937","         171","       79973","Columnas: Tiempo"
"01/07/2025  17:40:05,978","    89700000","LA VOZ DE LA NAE","08/09/2021  13:57:40,000","M","  46,0","      499687","         565","       79943"," Frecuencia"
"01/07/2025  17:40:05,978","    89900000"," ","16/01/2024  13:57:40,000","R","  42,3","      499687","         188","       79945"," ESTACION"
"01/07/2025  17:40:05,978","    90100000"," ","16/01/2024  13:57:40,000","R","  49,6","      499687","         987","       79945"," FECHA SUSCRIPCION"
"01/07/2025  17:40:05,978","    90300000"," ","16/01/2024  13:57:40,000","R","  46,2","       74062","        4388","       79986"," TIPO"
"01/07/2025  17:40:05,978","    90500000","RADIO LA VOZ DEL UPANO","24/07/2017  13:57:40,000","M"," 109,8","       75625","         391","       35406"," Level"
"01/07/2025  17:40:05,978","    90700000"," ","16/01/2024  13:57:40,000","R","  43,3","       84062","       -3572","       79987"," Bandwidth"
"01/07/2025  17:40:05,978","    90900000","LA RADIO DE LA ASAMBLEA NACIONAL","26/03/2013  13:57:40,000","R","  46,3","      499687","       -1074","       79945"," Offset"
"01/07/2025  17:40:05,978","    91300000"," ","16/01/2024  13:57:40,000","R","  47,1","      498125","        -811","       79985"," FM"
"01/07/2025  17:40:05,978","    91500000"," ","16/01/2024  13:57:40,000","R","  68,4","      135312","       32351","       79955"," "
"01/07/2025  17:40:05,978","    91700000","BONITA FM","02/06/2005  13:57:40,000","M"," 107,2","      186250","       -4827","       62704","Origen:"
"01/07/2025  17:40:05,978","    91900000"," ","16/01/2024  13:57:40,000","R","  64,1","      139687","      -25631","       79958","Resultados de medic.: FmM025_250707_0101"
"01/07/2025  17:40:05,978","    92100000"," ","16/01/2024  13:57:40,000","R","  49,3","      499687","        1522","       79923","Resultados de medic.: FmM025_250702_0201"
"01/07/2025  17:40:05,978","    92300000"," ","16/01/2024  13:57:40,000","R","  47,2","      499687","        6006","       79970","Resultados de medic.: FmM025_250703_0101"
"01/07/2025  17:40:05,978","    92500000"," ","16/01/2024  13:57:40,000","R","  55,6","      131562","        8983","       79962","Resultados de medic.: FmM025_250703_0201"
"01/07/2025  17:40:05,978","    92700000"," ","16/01/2024  13:57:40,000","R","  81,8","      160625","       38865","       79929","Resultados de medic.: FmM025_250704_0101"
"01/07/2025  17:40:05,978","    92900000","RADIO MIA FM (MAGNIFICA INTEGRACION AMAZÓNICA)","30/05/2017  13:57:40,000","R"," 105,8","      185000","         767","       71014","Resultados de medic.: FmM025_250704_0201"
"01/07/2025  17:40:05,978","    93100000"," ","16/01/2024  13:57:40,000","R","  82,0","      140000","      -38224","       79943","Resultados de medic.: FmM025_250702_0101"
"01/07/2025  17:40:05,978","    93500000"," ","16/01/2024  13:57:40,000","R","  44,1","      499687","       -5334","       79978","Resultados de medic.: FmM025_250701_0201"
"01/07/2025  17:40:05,978","    93700000"," ","16/01/2024  13:57:40,000","R","  46,9","      499687","        -813","       79947","Resultados de medic.: FmM025_250707_0201"
"01/07/2025  17:40:05,978","    93900000"," ","16/01/2024  13:57:40,000","R","  45,1","       99375","        1339","       79988","Resultados de medic.: FmM025_250708_0101"
"01/07/2025  17:40:05,978","    94100000","CANAL JUVENIL FM","12/05/1998  13:57:40,000","M","  62,4","      101562","         -31","       34363","Resultados de medic.: FmM025_250709_0201"
"01/07/2025  17:40:05,978","    94300000"," ","16/01/2024  13:57:40,000","R","  37,0","      103125","      -10612","       79944","Resultados de medic.: FmM025_250710_0101"
"01/07/2025  17:40:05,978","    94500000"," ","16/01/2024  13:57:40,000","R","  43,8","      499687","        -427","       79907","Resultados de medic.: FmM025_250710_0201"
"01/07/2025  17:40:05,978","    94700000"," ","16/01/2024  13:57:40,000","R","  36,9","      499687","        2108","       79950","Resultados de medic.: FmM025_250711_0101"
"01/07/2025  17:40:05,978","    94900000"," ","16/01/2024  13:57:40,000","R","  43,1","      499687","        1829","       79943","Resultados de medic.: FmM025_250714_0101"
"01/07/2025  17:40:05,978","    95100000"," ","16/01/2024  13:57:40,000","R","  36,6","      499687","        -207","       79952","Resultados de medic.: FmM025_250714_0201"
"01/07/2025  17:40:05,978","    95300000"," ","16/01/2024  13:57:40,000","R","  45,5","      499687","        2616","       79958","Resultados de medic.: FmM025_250715_0101"
"01/07/2025  17:40:05,978","    95500000"," ","16/01/2024  13:57:40,000","R","  35,3","      499687","       -2933","       79940","Resultados de medic.: FmM025_250715_0201"
"01/07/2025  17:40:05,978","    95700000"," ","16/01/2024  13:57:40,000","R","  40,6","      499687","       -3507","       79940","Resultados de medic.: FmM025_250716_0101"
"01/07/2025  17:40:05,978","    95900000"," ","16/01/2024  13:57:40,000","R","  33,9","      499687","        1552","       79970","Resultados de medic.: FmM025_250716_0201"
"01/07/2025  17:40:05,978","    96100000","RADIO INTEROCEANICA","04/03/2021  13:57:40,000","R","  43,6","      499687","         313","       79990","Resultados de medic.: FmM025_250717_0101"
"01/07/2025  17:40:05,978","    96300000"," ","16/01/2024  13:57:40,000","R","  39,2","      499687","        4691","       79983","Resultados de medic.: FmM025_250717_0201"
"01/07/2025  17:40:05,978","    96500000"," ","16/01/2024  13:57:40,000","R","  52,6","      356562","        -663","       79907","Resultados de medic.: FmM025_250718_0101"
"01/07/2025  17:40:05,978","    96700000"," ","16/01/2024  13:57:40,000","R","  35,4","      499687","       -1811","       79965","Resultados de medic.: FmM025_250718_0201"
"01/07/2025  17:40:05,978","    96900000"," ","16/01/2024  13:57:40,000","R","  40,9","      499687","       -2643","       79909","Resultados de medic.: FmM025_250719_0101"
"01/07/2025  17:40:05,978","    97100000"," ","16/01/2024  13:57:40,000","R","  35,4","      499687","          37","       79965","Resultados de medic.: FmM025_250719_0201"
"01/07/2025  17:40:05,978","    97300000"," ","16/01/2024  13:57:40,000","R","  44,4","      499687","        1927","       79913","Resultados de medic.: FmM025_250720_0101"
"01/07/2025  17:40:05,978","    97500000"," ","16/01/2024  13:57:40,000","R","  35,6","      102187","        -538","       79985","Resultados de medic.: FmM025_250720_0201"
"01/07/2025  17:40:05,978","    97700000","SISTEMA RADIAL OLIMPICA","09/01/2003  13:57:40,000","M","  89,6","      114062","       -1189","       24006","Resultados de medic.: FmM025_250721_0101"
"01/07/2025  17:40:05,978","    97900000"," ","16/01/2024  13:57:40,000","R","  38,8","      126250","       -1525","       79990","Resultados de medic.: FmM025_250721_0201"
"01/07/2025  17:40:05,978","    98100000"," ","16/01/2024  13:57:40,000","R","  47,8","      495312","         445","       79908","Resultados de medic.: FmM025_250722_0101"
