"Tiempo","Frecuencia (Hz)","ESTACION","FECHA DE SUSCRIPCION","TIPO","Level (dBµV/m)","Bandwidth (Hz)","Offset (Hz)","FM (Hz)","Arch_ Info"
"01/05/2025  17:15:05,400","    88100000"," ","05/01/2024  13:44:39,000","R","  48,3","      485312","         441","       49974","Procesar Archivos de resultos de medición: Result. de med."
"01/05/2025  17:15:05,400","    88300000"," ","05/01/2024  13:44:39,000","R","  38,1","      464062","         -81","       49974","Propriedades del res. de med.:"
"01/05/2025  17:15:05,400","    88500000","RADIO SONORAMA FM","04/03/2021  13:44:39,000","R","  58,6","      460312","         -73","        6765"," Fecha inic.: 01/05/2025"
"01/05/2025  17:15:05,400","    88700000"," ","05/01/2024  13:44:39,000","R","  41,0","         625","        -513","       49982"," Hora inicial: 17:15:05"
"01/05/2025  17:15:05,400","    88900000","LA RADIO DE LA ASAMBLEA NACIONA","24/01/2022  13:44:39,000","R","  87,4","         625","         -67","         107"," Fecha final: 25/05/2025"
"01/05/2025  17:15:05,400","    90100000","RADIO ONDA MUNICIPAL FM","07/02/2018  13:44:39,000","M"," 104,4","      119375","          16","       49974"," Hora final: 17:17:40"
"01/05/2025  17:15:05,400","    90300000"," ","05/01/2024  13:44:39,000","R","  46,6","      109062","       -2108","       49975"," Cantidad de med.: 1368"
"01/05/2025  17:15:05,400","    90500000"," ","05/01/2024  13:44:39,000","R","  38,6","      494687","       -2034","       49975","Columnas: Tiempo"
"01/05/2025  17:15:05,400","    90700000"," ","05/01/2024  13:44:39,000","R","  39,4","      494687","        1274","       49975"," Frecuencia"
"01/05/2025  17:15:05,400","    90900000"," ","05/01/2024  13:44:39,000","R","  42,9","      494062","        -664","       49975"," ESTACION"
"01/05/2025  17:15:05,400","    91100000"," ","05/01/2024  13:44:39,000","R","  40,0","      495312","        -153","       49974"," FECHA DE SUSCRIPCION"
"01/05/2025  17:15:05,400","    91300000"," ","05/01/2024  13:44:39,000","R","  44,6","      491250","         515","       49982"," TIPO"
"01/05/2025  17:15:05,400","    91500000"," ","05/01/2024  13:44:39,000","R","  42,0","      495000","        -381","       49974"," Level"
"01/05/2025  17:15:05,400","    91700000"," ","05/01/2024  13:44:39,000","R","  39,1","      480000","        -457","       49980"," Bandwidth"
"01/05/2025  17:15:05,400","    91900000"," ","05/01/2024  13:44:39,000","R","  47,3","      129687","       11863","       49987"," Offset"
"01/05/2025  17:15:05,400","    92100000","AMAZONAS FM","03/03/2021  13:44:39,000","R","  91,1","      144687","         752","       49974"," FM"
"01/05/2025  17:15:05,400","    92300000"," ","05/01/2024  13:44:39,000","R","  40,2","      119062","       -5480","       49976"," "
"01/05/2025  17:15:05,400","    92500000"," ","05/01/2024  13:44:39,000","R","  49,3","      480000","        1550","       49971","Origen:"
"01/05/2025  17:15:05,400","    92700000"," ","05/01/2024  13:44:39,000","R","  39,4","      489687","       -1062","       49986","Resultados de medic.: FmZ027_250501_0201"
"01/05/2025  17:15:05,400","    92900000"," ","05/01/2024  13:44:39,000","R","  41,7","      493437","        -747","       49975","Resultados de medic.: FmZ027_250502_0101"
"01/05/2025  17:15:05,400","    93100000"," ","05/01/2024  13:44:39,000","R","  36,8","      496562","        -448","       49974","Resultados de medic.: FmZ027_250502_0201"
"01/05/2025  17:15:05,400","    93300000"," ","05/01/2024  13:44:39,000","R","  40,3","      492500","         280","       49974","Resultados de medic.: FmZ027_250503_0101"
"01/05/2025  17:15:05,400","    93500000"," ","05/01/2024  13:44:39,000","R","  42,2","      495000","         246","       49982","Resultados de medic.: FmZ027_250503_0201"
"01/05/2025  17:15:05,400","    93700000"," ","05/01/2024  13:44:39,000","R","  45,4","      480000","         340","       49988","Resultados de medic.: FmZ027_250504_0101"
