"Tiempo","Frecuencia (Hz)","ESTACION","FECHA SUSCRIPCION","TIPO","Level (dBµV/m)","Bandwidth (Hz)","Offset (Hz)","FM (Hz)","Arch_ Info"
"01/07/2025  7:15:05,560","    88100000","RADIO LUZ Y VIDA","24/02/2021  12:20:06,000","M"," 100,4","      127812","       -1478","       49975","Procesar Archivos de resultos de medición: Result. de med."
"01/07/2025  7:15:05,560","    88300000"," ","09/01/2024  12:20:06,000","M","  61,8","      465312","        9187","       49976","Propriedades del res. de med.:"
"01/07/2025  7:15:05,560","    88500000","RADIO CHASKI STEREO","01/03/2021  12:20:06,000","M"," 102,8","      291562","        -186","       49974"," Fecha inic.: 01/07/2025"
"01/07/2025  7:15:05,560","    88700000"," ","09/01/2024  12:20:06,000","M","  92,4","      469062","      -11179","       49977"," Hora inicial: 7:15:05"
"01/07/2025  7:15:05,560","    88900000","LA HECHICERA 88.9 FM","10/03/2021  12:20:06,000","M"," 104,9","      365312","        -328","       18388"," Fecha final: 31/07/2025"
"01/07/2025  7:15:05,560","    89300000","LATIDOS FM","26/02/2021  12:20:06,000","M"," 105,4","       50937","         -50","       16328"," Hora final: 17:32:41"
"01/07/2025  7:15:05,560","    89700000","SEMILLAS DE AMOR","18/11/2021  12:20:06,000","M"," 101,4","      104062","         213","       49974"," Cantidad de med.: 16461"
"01/07/2025  7:15:05,560","    90100000","RADIO MUNICIPAL","08/12/2015  12:20:06,000","M","  80,1","      117187","        -634","       49971","Columnas: Tiempo"
"01/07/2025  7:15:05,560","    90300000"," ","09/01/2024  12:20:06,000","M","  55,4","      478125","        5714","       49976"," Frecuencia"
"01/07/2025  7:15:05,560","    90500000","PUBLICA FM","27/11/2015  12:20:06,000","R","  86,8","      137187","          35","       44254"," ESTACION"
"01/07/2025  7:15:05,560","    90700000"," ","09/01/2024  12:20:06,000","M","  48,6","      465000","        6028","       49976"," FECHA SUSCRIPCION"
