Tiempo,Frecuencia (Hz),ESTACION,CANAL,Level (dBµV/m),Bandwidth (Hz),Offset (Hz),AM (%),Arch_ Info
"09/07/2025  17:40:05,766",55250000,RED TELESISTEMA (R.T.S),2,"  58,0",240000,4052," 32,30",Procesar Archivos de resultos de medición: Result. de med.
"09/07/2025  17:40:05,766",61250000, ,3,"  35,0",494687,-217," 95,40",Propriedades del res. de med.:
"09/07/2025  17:40:05,766",67250000,TELEVISION DEL PACIFICO,4,"  38,1",495312,1501," 93,70", Fecha inic.: 09/07/2025
"09/07/2025  17:40:05,766",77250000,TV CATOLICA LOS ENCUENTROS,5,"  40,9",495000,-62," 97,00", Hora inicial: 17:40:05
"09/07/2025  17:40:05,766",83250000, ,6,"  43,3",495312,1436," 98,40", Fecha final: 31/07/2025
"09/07/2025  17:40:05,766",175250000,ECUADOR TV,7,"  33,0",496250,-571," 96,80", Hora final: 17:42:54
"09/07/2025  17:40:05,766",181250000, ,8,"  30,6",495312,2923," 94,40", Cantidad de med.: 6375
"09/07/2025  17:40:05,766",187250000,UV TELEVISION,9,"  31,7",495000,1986," 96,90",Columnas: Tiempo
"09/07/2025  17:40:05,766",193250000, ,10,"  29,0",497500,3800," 93,90", Frecuencia
"09/07/2025  17:40:05,766",199250000,TELEAMAZONAS,11,"  30,0",495937,871," 94,90", ESTACION
"09/07/2025  17:40:05,766",205250000, ,12,"  31,9",493437,-8889," 94,50", CANAL
"09/07/2025  17:40:05,766",211250000,CADENA ECUATORIANA DE TELE,13,"  27,2",495625,120," 96,40", Level
"09/07/2025  17:40:05,766",471250000, ,14,"  27,2",495000,51," 95,50", Bandwidth
"09/07/2025  17:40:05,766",477250000, ,15,"  27,1",494687,85," 96,60", Offset
"09/07/2025  17:40:05,766",483250000, ,16,"  27,4",495312,507," 95,60", AM
"09/07/2025  17:40:05,766",513250000, ,21,"  25,9",495000,-4586," 94,00", 
"09/07/2025  17:40:05,766",519250000, ,22,"  25,6",495000,316," 95,10",Origen:
"09/07/2025  17:40:05,766",525250000,UCSG TELEVISION,23,"  27,4",495000,-3205," 97,60",Resultados de medic.: TvZ029_250726_0201
"09/07/2025  17:40:05,766",531250000, ,24,"  26,7",494687,-1578," 96,50",Resultados de medic.: TvZ029_250723_0101
"09/07/2025  17:40:05,766",537250000,OROMAR,25,"  26,9",494375,880," 96,40",Resultados de medic.: TvZ029_250710_0201
"09/07/2025  17:40:05,766",543250000, ,26,"  26,6",494687,3702," 96,10",Resultados de medic.: TvZ029_250711_0101
"09/07/2025  17:40:05,766",549250000,TV LEGISLATIVA,27,"  27,4",495312,2288," 95,60",Resultados de medic.: TvZ029_250711_0201
"09/07/2025  17:40:05,766",555250000, ,28,"  30,4",494375,3852," 94,40",Resultados de medic.: TvZ029_250712_0101
"09/07/2025  17:40:05,766",561250000, ,29,"  28,7",492812,14227," 96,00",Resultados de medic.: TvZ029_250712_0201
"09/07/2025  17:40:05,766",567250000, ,30,"  31,7",494375,859," 95,40",Resultados de medic.: TvZ029_250714_0201
"09/07/2025  17:40:05,766",573250000, ,31,"  28,7",494687,859," 97,00",Resultados de medic.: TvZ029_250710_0101
"09/07/2025  17:40:05,766",579250000, ,32,"  29,8",495312,825," 93,70",Resultados de medic.: TvZ029_250715_0201
"09/07/2025  17:40:05,766",585250000, ,33,"  27,2",495312,-2762," 95,90",Resultados de medic.: TvZ029_250716_0101
"09/07/2025  17:40:05,766",591250000, ,34,"  30,2",494687,-410," 94,30",Resultados de medic.: TvZ029_250716_0201
"09/07/2025  17:40:05,766",597350000, ,35,"  28,6",495000,4121," 95,40",Resultados de medic.: TvZ029_250717_0201
"09/07/2025  17:40:05,766",603250000, ,36,"  29,5",495000,-5364," 95,00",Resultados de medic.: TvZ029_250718_0201
"09/07/2025  17:40:05,766",615250000, ,38,"  29,3",495000,-2404," 93,30",Resultados de medic.: TvZ029_250722_0201
"09/07/2025  17:40:05,766",621250000, ,39,"  27,6",495312,-2038," 92,60",Resultados de medic.: TvZ029_250715_0101
"09/07/2025  17:40:05,766",627250000, ,40,"  28,2",495312,2125," 93,80",Resultados de medic.: TvZ029_250725_0201
"09/07/2025  17:40:05,766",633250000, ,41,"  28,6",494687,-1663," 94,40",Resultados de medic.: TvZ029_250726_0101
"09/07/2025  17:40:05,766",639250000, ,42,"  26,1",495000,1096," 95,50",Resultados de medic.: TvZ029_250709_0201
"09/07/2025  17:40:05,766",645250000, ,43,"  28,1",495312,-1793," 96,00",Resultados de medic.: TvZ029_250727_0101
"09/07/2025  17:40:05,766",651250000, ,44,"  26,6",495312,795," 96,30",Resultados de medic.: TvZ029_250727_0201
"09/07/2025  17:40:05,766",657250000, ,45,"  26,7",495000,-26," 94,40",Resultados de medic.: TvZ029_250729_0201
"09/07/2025  17:40:05,766",663250000, ,46,"  26,8",495000,959," 94,00",Resultados de medic.: TvZ029_250730_0101
"09/07/2025  17:40:05,766",669250000, ,47,"  26,9",495312,-463," 94,10",Resultados de medic.: TvZ029_250730_0201
"09/07/2025  17:40:05,766",675250000, ,48,"  29,2",495312,2968," 93,20",Resultados de medic.: TvZ029_250731_0101
"09/07/2025  17:40:05,766",681254900,TELECIUDADANA,49,"  27,9",495000,-4787," 95,70",Resultados de medic.: TvZ029_250731_0201
"09/07/2025  17:40:05,766",687250000, ,50,"  34,6",494062,-188," 97,50", 
"09/07/2025  17:40:05,766",693250000, ,51,"  43,2",494687,-684," 96,30",Arch. Info: $Temp00126
