ESTACION,Frecuencia (MHz),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Promedio Mensual,Promedio Bandwidth (kHz),Medicion Manual,Observaciones
SUSCAL RADIO DIGITAL FM,88.100,70.807,71.165,71.811,71.389,70.944,70.869,70.806,70.625,70.939,70.628,70.965,70.737,71.271,70.756,70.812,70.200,70.419,70.850,70.550,70.271,70.750,70.218,70.500,70.487,-,-,-,70.678,70.778,70.735,71.106,70.788,339.887,,
LA VOZ DEL TAMBO,89.300,93.279,94.106,93.967,93.489,93.525,93.550,92.956,93.362,93.750,93.522,93.929,94.006,93.659,93.383,92.719,92.982,93.419,93.750,93.361,92.324,93.089,93.071,92.844,93.275,-,-,-,92.722,92.867,93.082,93.133,93.326,215.383,,
W RADIO,90.100,75.979,74.906,78.878,75.256,74.394,74.600,73.678,74.569,74.683,74.411,74.918,74.756,74.818,73.833,74.081,72.853,74.431,74.478,74.272,74.076,73.828,74.388,74.200,73.325,-,-,-,74.467,73.422,72.959,73.361,74.422,381.824,,
SUPER S,90.900,96.929,97.094,96.544,97.122,97.094,97.700,97.278,97.019,97.083,96.450,96.547,96.675,97.853,97.261,97.519,96.829,95.875,96.889,96.911,96.947,97.839,96.500,96.294,97.412,-,-,-,97.322,96.861,97.018,96.361,96.972,394.820,,
LA SUPER DEPORTIVA,91.700,51.914,51.912,53.711,53.189,52.306,52.025,51.633,51.375,52.800,52.850,52.047,51.700,51.641,51.517,51.344,51.229,51.050,51.933,51.356,51.271,51.306,51.829,51.244,52.938,-,-,-,51.044,50.711,50.565,51.089,51.769,489.279,,
GCG MAGICA FM,92.100,87.314,87.988,88.611,88.178,87.956,87.731,87.539,88.200,89.228,89.128,89.141,89.181,88.271,88.656,88.206,87.824,88.150,88.478,87.939,87.941,88.128,88.288,88.228,87.550,-,-,-,88.033,88.339,88.100,87.694,88.215,214.977,,
RADIO K1,92.500,82.000,83.659,82.889,79.544,78.994,78.144,77.028,78.287,78.983,78.911,79.912,79.662,78.112,78.306,78.044,77.947,79.056,79.844,78.344,79.076,79.267,78.288,78.428,77.912,-,-,-,78.189,78.006,77.288,77.306,78.980,362.770,,
RADIO GENESIS,93.300,87.493,89.476,87.600,82.756,82.144,83.819,82.850,82.919,82.922,83.933,81.265,79.931,77.941,77.828,77.650,76.876,79.181,81.589,77.744,78.676,77.117,78.588,78.067,83.875,-,-,-,84.556,83.567,83.159,84.078,81.700,219.910,,
RADIO QUITUMBE (SIS NO AUTORI),94.100,63.407,60.129,59.700,57.156,56.344,57.069,57.267,56.950,55.983,54.594,58.171,57.619,56.082,55.722,54.919,54.941,59.312,57.594,56.856,57.494,55.422,56.765,56.061,53.788,-,-,-,52.478,54.378,55.618,55.956,56.706,489.910,,
LA VOZ DE INGAPIRCA FM,94.500,87.007,87.547,87.756,87.167,87.506,87.169,87.178,87.569,87.294,87.406,87.765,87.131,87.529,87.489,87.550,87.035,87.275,87.656,87.261,87.171,88.128,86.906,87.194,87.050,-,-,-,87.633,87.106,87.035,87.139,87.345,196.802,,
ONDAS CAÑARIS FM,95.300,94.321,94.765,94.067,94.167,94.719,94.162,94.150,94.306,94.033,93.806,93.700,94.931,94.282,94.022,94.450,93.682,94.219,94.328,94.872,94.429,94.406,93.665,94.478,94.438,-,-,-,94.856,93.961,93.871,94.067,94.255,230.946,,
RADIO CATEDRAL 95.7,95.700,79.193,78.018,76.989,78.189,77.606,78.338,77.906,77.875,77.900,78.094,76.565,78.294,78.406,76.467,75.294,76.735,77.225,78.428,78.761,78.729,77.317,77.847,76.906,77.487,-,-,-,76.878,76.606,77.100,76.228,77.549,436.644,,
RADIO COSMOS,97.300,70.971,71.629,70.722,72.533,70.938,71.581,70.189,71.963,71.494,72.372,68.653,69.263,69.841,70.483,69.350,69.124,68.912,71.756,71.717,73.871,72.706,69.888,72.150,69.725,-,-,-,75.156,77.333,76.212,84.450,71.964,257.140,,
RADIOHIT FM,98.100,82.157,82.041,82.000,83.722,81.556,82.069,81.317,81.456,82.406,82.111,81.535,81.650,81.029,79.183,80.031,80.212,80.438,82.083,80.150,80.553,79.083,80.900,81.372,80.800,-,-,-,80.967,80.061,80.629,81.161,81.167,197.275,,
LA RADIO DE LA ASAMBLEA NACIONA,98.500,46.879,46.806,45.967,47.778,48.081,47.050,46.672,47.125,46.844,46.878,46.329,49.663,48.700,49.311,47.731,49.229,47.975,46.883,45.822,46.524,47.444,46.506,46.150,45.638,-,-,-,44.544,46.628,46.594,47.178,47.105,490.000,,
RADIO ESTELAR,99.300,91.443,91.900,90.989,92.533,90.169,92.019,89.000,89.869,91.922,91.450,91.741,90.669,82.071,89.356,89.469,89.794,91.569,91.589,91.811,90.041,87.872,91.382,91.572,91.662,-,-,-,89.044,90.678,89.976,91.372,90.463,371.194,,
RADIO COMPLICE FM,99.700,88.664,89.047,88.144,90.600,88.631,89.494,88.689,88.919,90.211,89.761,89.082,89.700,89.324,88.956,89.713,89.218,89.319,90.022,90.056,89.876,89.811,89.824,89.811,89.562,-,-,-,90.256,89.194,89.259,89.406,89.448,315.068,,
RADIO ROJA DEL CAÑAR,101.700,95.071,95.453,95.167,96.011,95.237,95.894,95.456,95.344,95.744,95.156,93.965,94.331,94.282,93.861,93.706,93.659,93.481,92.989,93.189,93.324,93.222,92.976,93.078,92.963,-,-,-,88.222,94.928,95.782,95.533,94.215,244.122,,
RADIO SONORAMA FM,105.700,44.264,43.400,42.867,43.778,45.044,43.913,44.139,42.844,44.139,43.750,48.476,47.181,44.353,45.839,46.763,47.582,45.737,42.889,41.150,42.506,43.883,43.547,42.278,44.638,-,-,-,41.867,42.422,41.865,43.456,44.092,483.604,,
RADIO VISION CUENCA 106.1 FM,106.100,93.229,93.494,93.689,93.811,93.944,94.400,93.856,93.831,93.989,93.706,93.759,93.425,93.771,94.011,93.725,93.476,93.775,93.894,94.011,93.824,94.144,93.494,93.556,93.350,-,-,-,93.144,93.411,93.571,93.661,93.713,165.248,,
CUMBRES FM,106.900,95.871,92.800,89.733,95.211,91.888,91.706,92.106,91.362,91.633,91.572,91.553,92.469,92.871,92.889,92.975,92.324,92.938,95.683,92.744,92.459,92.950,92.759,92.528,95.412,-,-,-,95.222,92.567,92.394,92.544,92.827,243.851,,
CANELA AUSTRO,107.300,89.271,88.700,88.433,88.989,88.987,89.025,68.033,46.181,88.911,88.967,88.753,88.875,89.194,89.506,89.794,89.641,89.631,89.183,89.211,89.435,90.083,89.847,89.400,89.250,-,-,-,89.644,89.583,90.159,89.700,87.014,332.072,,
RADIO CAÑARI,107.700,92.800,91.988,91.356,91.811,92.206,92.850,92.967,92.062,92.050,91.972,91.982,91.987,91.824,92.139,92.775,92.600,92.781,92.922,91.839,92.835,92.706,92.888,92.356,93.112,-,-,-,93.011,92.706,92.982,93.022,92.448,269.054,,
